id_releve,x_l93,y_l93,x_UTM32N,y_UTM32N
10407653,1007687,6552113,343372,5095925
10407654,1007879,6552143,343566,5095941
10407656,1007890,6552124,343576,5095921
10407658,1007712,6552172,343402,5095982
10407664,1007851,6552136,343538,5095936
10407665,1007780,6552124,343466,5095929
10407666,1008097,6551993,343773,5095774
10407671,1008052,6552013,343729,5095798
10407674,1008174,6551957,343847,5095733
10407676,1008082,6552031,343760,5095813
10407681,1008080,6552044,343759,5095827
10407684,1008104,6552003,343780,5095784
10407895,1007962,6552025,343640,5095817
10407900,1008123,6551965,343796,5095744
10407906,1005878,6552247,341577,5096196
10407910,1008247,6551928,343917,5095698
10407912,1007915,6552071,343597,5095866
10407916,1007925,6552089,343608,5095883
10407919,1007711,6551990,343387,5095801
10407931,1001042,6540326,335848,5084666
10407935,1001049,6540291,335853,5084630
10407939,1001051,6540266,335853,5084605
10408065,1000878,6540231,335678,5084583
10408068,1000838,6540214,335636,5084569
10408070,1000811,6540220,335610,5084577
10408072,1000775,6540193,335572,5084553
10408074,1000756,6540203,335554,5084565
10408076,1000742,6540243,335543,5084605
10408078,1000683,6540247,335484,5084614
10408079,1000690,6540257,335492,5084623
10408080,1000702,6540276,335505,5084641
10408083,1000669,6540262,335471,5084630
10408085,1000815,6540447,335631,5084804
10408097,1000787,6540462,335604,5084821
10408098,1000808,6540515,335629,5084872
10408099,1000810,6540546,335634,5084903
10966110,1008173,6551916,343843,5095692
10966733,1000655,6540537,335478,5084905
10966735,1000688,6540535,335511,5084901
10966736,1000724,6540561,335549,5084924
10966738,1000870,6540561,335695,5084913
10966739,1000918,6540470,335736,5084819
10966741,1000877,6540537,335700,5084889
10966743,1000908,6540479,335726,5084828
10966744,1000921,6540474,335739,5084822
10966751,1000879,6540544,335702,5084896
10966752,1000951,6540255,335752,5084602
10966754,1000984,6540516,335805,5084860
10966757,1000914,6540262,335716,5084611
10966759,1000951,6540385,335762,5084731
10966765,1000990,6540398,335802,5084741
10966770,1000924,6540389,335735,5084737
10966776,1001018,6540206,335815,5084548
10966780,1000977,6540190,335773,5084535
10966784,1001044,6540213,335842,5084553
10966786,1001090,6540460,335907,5084796
10971256,969204,6431887,295898,4978853
10971257,968768,6431594,295441,4978593
10971258,968865,6431517,295532,4978509
10971259,968889,6431904,295585,4978893
10971260,968832,6431609,295506,4978603
10971261,969264,6431735,295946,4978697
10971262,968873,6431845,295564,4978836
10971263,969257,6432014,295960,4978975
10971264,969031,6431476,295694,4978456
10971265,968945,6432000,295648,4978985
10971266,968640,6432061,295348,4979069
10971267,968918,6432087,295627,4979074
10971268,968862,6432134,295575,4979125
10971269,968937,6432021,295641,4979006
10971270,968735,6431858,295428,4978859
10971271,968545,6432238,295267,4979252
10971272,968826,6431919,295523,4978913
10971273,969239,6431935,295936,4978898
10971274,969228,6431843,295918,4978807
10971275,968796,6431916,295493,4978912
