"","cd_ref","nom_reconnu_ss_auteur","CHOROLOGIE","sexualité","pollinisation","inflorescence","fruit","dissémination","TYPE_BIOLOGIQUE","FORMATION_VEGETALE","CARACT_ECOLOG_HABITAT_OPTI","INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE","SA_CSR","dissemination_compil","pollinisation_compil","famille","nom_valide","tax_type","nbre_obs","annee_min","annee_max"
"53",87622,"Campanula cochleariifolia","orophyte méridional","hermaphrodite","entomogame, autogame","cyme unipare hélicoïde","capsule","barochore","hsto","hémicryptophytaie","grpts vivaces des éboulis basophiles, psychrophiles, montagnards (ubacs) à alpins, héliophiles","Noccaeetalia rotundifoliae Braun-Blanquet in Braun-Blanquet & Jenny 1926 em. Seibert in Oberdorfer 1977","css","barochore","entomogame, autogame","Campanulaceae","Campanula cochleariifolia Lam., 1785","P",37,2019,2020
"54",87716,"Campanula rhomboidalis","orophyte alpien occ.","hermaphrodite","entomogame, autogame","cyme unipare hélicoïde","capsule","barochore","heri","hémicryptophytaie","prairies mésohydriques fauchées, subalpines à montagnardes, neutroclines","Campanulo rhomboidalis - Trisetenion flavescentis Dierschke in Theurillat 1992","ccr","barochore","entomogame, autogame","Campanulaceae","Campanula rhomboidalis L., 1753","P",1,2019,2019
"55",87724,"Campanula scheuchzeri","orophyte méridional","hermaphrodite","entomogame, autogame","cyme unipare hélicoïde","capsule","barochore","hsto","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994",NA,"barochore","entomogame, autogame","Campanulaceae","Campanula scheuchzeri Vill., 1779","P",24,2019,2020
"56",87970,"Cardamine resedifolia","orophyte européen","hermaphrodite","entomogame","corymbe","silique","anémochore","hros","hémicryptophytaie","grpts vivaces des éboulis médio-européens orophiles, acidophiles","Androsacetalia alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926","rss","barochore","entomogame","Brassicaceae","Cardamine resedifolia L., 1753","P",48,2019,2020
"57",88108,"Carduus defloratus","orophyte méridional","hermaphrodite","entomogame, autogame","racème de capitules","akène","anémochore","heri","hémicryptophytaie","pelouses basophiles subalpines, pionnières, chionophiles","Seslerietea caeruleae Braun-Blanquet 1948 em. Oberdorfer 1978","crs","anémochore","entomogame, autogame","Asteraceae","Carduus defloratus L., 1759","P",2,2019,2020
"58",88359,"Carex atrata","orophyte méridional","monoïque","anémogame","racème d'épis","akène","barochore","hces","hémicryptophytaie","pelouses basophiles arctico-alpines climaciques, chionophobes, européennes occidentales","Caricetalia myosuroidis Oberdorfer 1957","crs","barochore","anémogame","Cyperaceae","Carex atrata L., 1753","P",4,2019,2020
"59",88470,"Carex digitata","eurasiatique","monoïque","anémogame","racème d'épis","akène","myrmécochore","hces","hémicryptophytaie","sous-bois herbacés médio-européens, planitiaires à montagnards","Anemono nemorosae - Caricetea sylvaticae Gillet 1986 em. Julve 1993","crs","barochore","anémogame","Cyperaceae","Carex digitata L., 1753","P",1,2019,2019
"60",88504,"Carex ferruginea","orophyte méridional","monoïque","anémogame","racème d'épis","akène","épizoochore","grhi","hémicryptophytaie","pelouses basophiles subalpines, alpiennes, mésohygrophiles","Caricion ferrugineae Braun-Blanquet 1931",NA,"barochore","anémogame","Cyperaceae","Carex ferruginea Scop., 1772","P",1,2019,2019
"61",88515,"Carex foetida","orophyte méridional","monoïque","anémogame","racème d'épis","akène","barochore","hces","hémicryptophytaie","pelouses alpines climaciques chionophiles, acidophiles","Salicion herbaceae Braun-Blanquet in Braun-Blanquet & Jenny 1926","css","barochore","anémogame","Cyperaceae","Carex foetida All., 1785","P",4,2019,2019
"62",88519,"Carex frigida","orophyte méridional","monoïque","anémogame","racème d'épis","akène","barochore","grhi","hémicryptophytaie","parvocariçaies paratourbeuses, basophiles, de l'étage alpin","Caricion maritimae (Braun-Blanquet in Volk 1939) Braun-Blanquet 1971","css","barochore","anémogame","Cyperaceae","Carex frigida All., 1785","P",7,2019,2020
"63",88708,"Carex myosuroides","circumboréal","monoïque","anémogame","racème d'épis","akène","barochore","hces","hémicryptophytaie","pelouses basophiles arctico-alpines climaciques, chionophobes, holarctiques","Caricetea rupestro - myosuroidis Ohba 1974",NA,"barochore","anémogame","Cyperaceae","Carex myosuroides Vill., 1779","P",1,2019,2019
"64",88747,"Carex pallescens","circumboréal","monoïque","anémogame","racème d'épis","akène","barochore","hces","hémicryptophytaie","pelouses acidophiles planitiaires-montagnardes, mésohygroclines","Juncion squarrosi Oberdorfer 1957 em. 1978","crs","barochore","anémogame","Cyperaceae","Carex pallescens L., 1753","P",1,2019,2019
"65",88756,"Carex parviflora","orophyte méridional","monoïque","anémogame","racème d'épis","akène","barochore","hces","hémicryptophytaie","pelouses alpines climaciques chionophiles, basophiles","Arabidetalia caeruleae Rübel 1933 ex Nordhagen 1936","crs","barochore","anémogame","Cyperaceae","Carex parviflora Host, 1801","P",5,2019,2020
"66",88865,"Carex sempervirens","orophyte méridional","monoïque","anémogame","racème d'épis","akène","épizoochore","hces","hémicryptophytaie","pelouses neutroclines subalpines, alpiennes, mésohydriques","Agrostio capillaris - Seslerienion caeruleae Béguin 1970",NA,"barochore","anémogame","Cyperaceae","Carex sempervirens Vill., 1787","P",3,2019,2020
"67",133087,"Cerastium arvense subsp. strictum","arctico-alpin","hermaphrodite","entomogame","cyme bipare","capsule","anémochore","hsto","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","crs","barochore","entomogame","Caryophyllaceae","Cerastium arvense subsp. strictum Gaudin, 1828","P",40,2019,2020
"68",133087,"Cerastium arvense subsp. strictum","arctico-alpin","hermaphrodite","entomogame","cyme bipare","capsule","anémochore","hsto","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","ccs","barochore","entomogame","Caryophyllaceae","Cerastium arvense subsp. strictum Gaudin, 1828","P",40,2019,2020
"69",133108,"Cerastium fontanum subsp. vulgare","cosmopolite","hermaphrodite","entomogame, autogame","cyme bipare","capsule","anémochore","hsto","hémicryptophytaie","prairies européennes mésotrophiles à eutrophiles","Agrostio stoloniferae - Arrhenatheretea elatioris subsp. elatioris (Tüxen 1937 em. 1970) de Foucault 1984","crs","barochore","entomogame, autogame","Caryophyllaceae","Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet, 1982","P",1,2019,2019
"70",90071,"Cerastium pedunculatum","orophyte alpien","hermaphrodite","entomogame","cyme bipare","capsule","anémochore","hsto","hémicryptophytaie","grpts vivaces des éboulis médio-européens, acidophiles, orophiles, alpiens","Androsacion alpinae Braun-Blanquet in Braun-Blanquet & Jenny 1926","crs","barochore","entomogame","Caryophyllaceae","Cerastium pedunculatum Gaudin, 1828","P",50,2019,2020
